,Liquidity_Samples
181,1.5207023438763618e+25
182,1.397712338720532e+25
183,1.5294365060541332e+25
184,1.4425725411678354e+25
185,1.4251524254259669e+25
186,1.5052489457421894e+25
187,1.5277830347503459e+25
188,1.4384593350613088e+25
189,1.519005042947738e+25
190,1.507301853831934e+25
191,1.4741751935215906e+25
192,1.4910798763684302e+25
193,1.4748639485514248e+25
194,1.5042438005597855e+25
195,1.5509956757304144e+25
196,1.533238969660712e+25
197,1.5072271586606924e+25
198,1.5530951161206103e+25
199,1.5516163814376363e+25
200,1.4494397497229725e+25
201,1.4771117286608035e+25
202,1.550305520992547e+25
203,1.4247463210413704e+25
204,1.5086980533364473e+25
205,1.4831415927463317e+25
206,1.5115564641745657e+25
207,1.4775608847667414e+25
208,1.534839197051094e+25
209,1.428374706727294e+25
210,1.394083076893262e+25
211,1.5329863314339762e+25
212,1.4779600574953755e+25
213,1.5693777817059389e+25
214,1.4993950839821868e+25
215,1.4448609952360138e+25
216,1.495173229430672e+25
217,1.503436971365392e+25
218,1.5158542008076805e+25
219,1.533457834005892e+25
220,1.5279315174148228e+25
221,1.4631611103467458e+25
222,1.4405731725003998e+25
223,1.4424512968895712e+25
224,1.5110937075251281e+25
225,1.4815418538573878e+25
226,1.509741282927307e+25
227,1.5118507169777315e+25
228,1.4934584934392036e+25
229,1.4861600123515675e+25
230,1.5205039337249945e+25
231,1.5162921770020997e+25
232,1.5227130649628278e+25
233,1.5125477679964078e+25
234,1.4817665704128715e+25
235,1.4038228812171472e+25
236,1.5166520962409377e+25
237,1.5183571296608556e+25
238,1.477607062257491e+25
239,1.5409625089699538e+25
240,1.4898351500888525e+25
241,1.515800354623608e+25
242,1.465971135493832e+25
243,1.4502837474094014e+25
244,1.4683112763774324e+25
245,1.542929293006933e+25
246,1.4358312995217847e+25
247,1.5031098374333684e+25
248,1.4622222833067523e+25
249,1.5171713000708097e+25
250,1.5111176661004748e+25
251,1.476411936399675e+25
252,1.4811498342641443e+25
253,1.4889073522602156e+25
254,1.4600791834681978e+25
255,1.5195802724269808e+25
256,1.4841628764466322e+25
257,1.520118647229356e+25
258,1.4169788040243818e+25
259,1.4976586895294698e+25
260,1.5211004955159606e+25
261,1.4727967593669897e+25
262,1.465826847649243e+25
263,1.512607245778666e+25
264,1.5006454089763781e+25
265,1.3873200606731555e+25
266,1.4626107288016233e+25
267,1.547110751582961e+25
268,1.4275494297736634e+25
269,1.4933006291875042e+25
270,1.4534108337773465e+25
271,1.5196499174538142e+25
272,1.5308670138085546e+25
273,1.419316623128483e+25
274,1.5535081497892436e+25
275,1.5138566576485946e+25
276,1.535898482781778e+25
277,1.4820569944378646e+25
278,1.4340639213043466e+25
279,1.5239528463668529e+25
280,1.477076277541351e+25
281,1.5112826879602194e+25
282,1.5355545369075143e+25
283,1.4417991778522858e+25
284,1.5445373655651811e+25
285,1.4533812997129953e+25
286,1.463674131812382e+25
287,1.4754107584086198e+25
288,1.4722368409262588e+25
289,1.4878111842848074e+25
290,1.5109875556692762e+25
291,1.4832151537431598e+25
292,1.498130349487529e+25
293,1.5402484804506546e+25
294,1.4090108178647643e+25
295,1.4683428999149404e+25
296,1.4674527804481135e+25
297,1.4686282019501833e+25
298,1.4362150543989233e+25
299,1.4392448601660931e+25
300,1.465660068097583e+25
301,1.4837937516656254e+25
302,1.4866239557643213e+25
303,1.4273397337200512e+25
304,1.6043185527864684e+25
305,1.5176706062439676e+25
306,1.4559188828499705e+25
307,1.4808826569417807e+25
308,1.4898789557174293e+25
309,1.5374480007405267e+25
310,1.519241221571265e+25
311,1.5157765979704676e+25
312,1.4241729214176696e+25
313,1.5384289834237402e+25
314,1.5499670127382674e+25
315,1.527528132557681e+25
316,1.519586902730334e+25
317,1.4840892538411725e+25
318,1.4923639590545295e+25
319,1.5116988546191584e+25
320,1.5038315375310147e+25
321,1.5024284157951563e+25
322,1.461564592575424e+25
323,1.513750943812229e+25
324,1.4815455570418171e+25
325,1.4739676580933093e+25
326,1.4305732505200849e+25
327,1.454664528848078e+25
328,1.4466409335323185e+25
329,1.5328337830462376e+25
330,1.4780417239566712e+25
331,1.4721289134707463e+25
332,1.5299490114130673e+25
333,1.4937749671483874e+25
334,1.4819755223929756e+25
335,1.5285373098730854e+25
336,1.5206518086130143e+25
337,1.4756749993699929e+25
338,1.4310796981710586e+25
339,1.4976821933445738e+25
340,1.5046103618628199e+25
341,1.4856032069743046e+25
342,1.5295160061826307e+25
343,1.5218857093239967e+25
344,1.502221133406705e+25
345,1.4740576539695274e+25
346,1.513617411569339e+25
347,1.5263999733951425e+25
348,1.4298484770147068e+25
349,1.5286288348312485e+25
350,1.438761806181171e+25
351,1.5168175453431174e+25
352,1.5700113156884512e+25
353,1.4335884324807857e+25
354,1.5640122720240882e+25
355,1.4774117479614978e+25
356,1.4485023193736804e+25
357,1.5069104169114112e+25
358,1.499899387358695e+25
359,1.511932221295479e+25
360,1.455613220604062e+25
361,1.436714428912912e+25
362,1.5190935174840078e+25
363,1.5226578290678345e+25
364,1.4720165455888048e+25
365,1.5531401061639264e+25
366,1.5489989581180303e+25
367,1.463749109977131e+25
368,1.5102616246484183e+25
369,1.4973287508850848e+25
370,1.6125817097973392e+25
371,1.4748220693373466e+25
372,1.5188067478487153e+25
373,1.5321593515688866e+25
374,1.457612344589982e+25
375,1.4866104073682587e+25
376,1.496526048838747e+25
377,1.4797738178922741e+25
378,1.4907216819094906e+25
379,1.492796386658152e+25
380,1.5303077254903613e+25
381,1.513631742221585e+25
382,1.4325010509239298e+25
383,1.471324027236506e+25
384,1.4400138925065665e+25
385,1.5131370623240622e+25
386,1.4742778214908422e+25
387,1.5090496893242168e+25
388,1.532911679707742e+25
389,1.4653763224080875e+25
390,1.4561520687175633e+25
391,1.468825871455576e+25
392,1.5333642032780087e+25
393,1.5346929972168385e+25
394,1.487242623416564e+25
395,1.4766524976010829e+25
396,1.5091018957642545e+25
397,1.4890292135219756e+25
398,1.5034391699363659e+25
399,1.4811367930367468e+25
400,1.4392932164964428e+25
401,1.4013414021302377e+25
402,1.4187281473408865e+25
403,1.4623861896719528e+25
404,1.4956233723583072e+25
405,1.47186263656782e+25
406,1.5080744888461945e+25
407,1.4766074561952128e+25
408,1.4560482661147318e+25
409,1.565062159764757e+25
410,1.5066775459420832e+25
411,1.5143546002912994e+25
412,1.6005116879175943e+25
413,1.512622377463246e+25
414,1.4608085790888489e+25
415,1.4855832351827538e+25
416,1.5370589569884243e+25
417,1.5290359706951446e+25
418,1.4511099693630742e+25
419,1.5286913508451834e+25
420,1.4311864379551546e+25
421,1.46796124831513e+25
422,1.4861136248548673e+25
423,1.4289350764653903e+25
424,1.5080709999820916e+25
425,1.5414318554418716e+25
426,1.494807114982357e+25
427,1.5227351581286763e+25
428,1.4738267770618382e+25
429,1.54752728162498e+25
430,1.5280281641403268e+25
431,1.4481664041276363e+25
432,1.470164138127021e+25
433,1.4743347764858115e+25
434,1.5425944381800056e+25
435,1.5287939218427034e+25
436,1.5277769252169609e+25
437,1.5552915483420898e+25
438,1.4907070657321971e+25
439,1.5377133439957048e+25
440,1.4610795329399463e+25
441,1.4147138917710752e+25
442,1.5654947844870368e+25
443,1.4546774782787424e+25
444,1.4494106379128954e+25
445,1.4550449943696415e+25
446,1.4519466897508027e+25
447,1.4841677587893393e+25
448,1.4559738262874828e+25
449,1.5727741779351684e+25
450,1.5161079841234297e+25
451,1.5151951410297008e+25
452,1.4726143692852639e+25
453,1.5112358918506339e+25
454,1.496403808404086e+25
455,1.549074230215005e+25
456,1.5070725831845521e+25
457,1.4799489091069347e+25
458,1.5321950150022564e+25
459,1.5618199773638208e+25
460,1.5261877080944054e+25
461,1.387245400114424e+25
462,1.5339327128972035e+25
463,1.5335222303588703e+25
464,1.4821072735113362e+25
465,1.473810063542369e+25
466,1.4432952671378252e+25
467,1.516865879993284e+25
468,1.4692368313013043e+25
469,1.5339253817195292e+25
470,1.5254011099148659e+25
471,1.477314831176092e+25
472,1.4740162576468411e+25
473,1.4638267308983359e+25
474,1.5147834803303167e+25
475,1.4986815517957385e+25
476,1.492815710344219e+25
477,1.5136812320771054e+25
478,1.5002430869612605e+25
479,1.5444784865625455e+25
480,1.4388980142288983e+25
481,1.5519751623740356e+25
482,1.5209658220895397e+25
483,1.5210787641442486e+25
484,1.5544871671550785e+25
485,1.5067463691579775e+25
486,1.4270617322036248e+25
487,1.466244233842239e+25
488,1.4291599115529924e+25
489,1.5507602462487735e+25
490,1.576768596723995e+25
491,1.4712381430320424e+25
492,1.4770235740438815e+25
493,1.5468197374429383e+25
494,1.4752902835987e+25
495,1.4558770662515183e+25
496,1.447008905937868e+25
497,1.5416745733174974e+25
498,1.5109643736272263e+25
499,1.5283551482971502e+25
500,1.5516986006532476e+25
501,1.5284591424327632e+25
502,1.5188976480122681e+25
503,1.5297603117693765e+25
504,1.5065132997198737e+25
505,1.5647025748391238e+25
506,1.566131396693282e+25
507,1.515630885266524e+25
508,1.4686228638666984e+25
509,1.4828577558698403e+25
510,1.4609028551335568e+25
511,1.5406215822914166e+25
512,1.475033923608468e+25
513,1.5574683842383989e+25
514,1.4936560402506833e+25
515,1.500299643580513e+25
516,1.4741548035427779e+25
517,1.5127323876947474e+25
518,1.4390606445510836e+25
519,1.4252508691238988e+25
520,1.4629869402508098e+25
521,1.507165788024535e+25
522,1.5224561954484998e+25
523,1.473437141513439e+25
524,1.4875010431194952e+25
525,1.458474228881278e+25
526,1.553162307875241e+25
527,1.4495264247973513e+25
528,1.4039726685359822e+25
529,1.503698373267643e+25
530,1.4695806492875435e+25
531,1.507790094281004e+25
532,1.4653913297654167e+25
533,1.577180809170525e+25
534,1.5726711971469132e+25
535,1.434343345388185e+25
536,1.4759322539006703e+25
537,1.518430811243334e+25
538,1.512536573071468e+25
539,1.5212943888175866e+25
540,1.4710285720593133e+25
541,1.4628902928284926e+25
542,1.4998113240037025e+25
543,1.4763375779313874e+25
544,1.4311102837009087e+25
545,1.5593156122470227e+25
546,1.4647421611400368e+25
547,1.4818007652196869e+25
548,1.450805363465914e+25
549,1.4676953866489028e+25
550,1.4560953553502518e+25
551,1.5311047202402754e+25
552,1.4639473307776528e+25
553,1.5252965354418594e+25
554,1.4841788781648432e+25
555,1.4881603659161599e+25
556,1.4821343586837522e+25
557,1.4942882293276882e+25
558,1.5470336864787448e+25
559,1.4540065425219007e+25
560,1.5943606333062957e+25
561,1.522773422102018e+25
562,1.5164246687965397e+25
563,1.4874146746633263e+25
564,1.5107264250215214e+25
565,1.5201778752773324e+25
566,1.4617059661231768e+25
567,1.4561577972663211e+25
568,1.565750955793867e+25
569,1.514256062137994e+25
570,1.523804269681531e+25
571,1.4398853886722343e+25
572,1.5485629763021305e+25
573,1.4456343436213671e+25
574,1.5177867678612767e+25
575,1.5414195462759948e+25
576,1.4930949498183143e+25
577,1.4978880458686495e+25
578,1.4873779245352578e+25
579,1.492122783265374e+25
580,1.4885595328029452e+25
581,1.4248907358930039e+25
582,1.482180567530253e+25
583,1.4884256609798684e+25
584,1.4076404205197334e+25
585,1.4368966260560915e+25
586,1.485889535037816e+25
587,1.4811131081909842e+25
588,1.4742558521607528e+25
589,1.424928318934498e+25
590,1.4737704554094377e+25
591,1.5024420323545792e+25
592,1.4897643150809716e+25
593,1.4615385547169035e+25
594,1.594231302056028e+25
595,1.5195997238709782e+25
596,1.5454580888641513e+25
597,1.4500680267895142e+25
598,1.4228585701055754e+25
599,1.4590660492060228e+25
600,1.5186291128156174e+25
601,1.5176392796242235e+25
602,1.531937795146539e+25
603,1.5059691962096314e+25
604,1.5475323904388142e+25
605,1.4723410897552453e+25
606,1.5200297595465607e+25
607,1.5632062552976781e+25
608,1.4642496322858668e+25
609,1.5027036974342314e+25
610,1.484289184029208e+25
611,1.4214292626593943e+25
612,1.4962276153258828e+25
613,1.5506753713946631e+25
614,1.5101649709823347e+25
615,1.469455697239959e+25
616,1.5295331994449044e+25
617,1.4348846948042306e+25
618,1.5060880012416482e+25
619,1.5185188781492751e+25
620,1.4466924233411586e+25
621,1.4756788616620842e+25
622,1.5345997157248164e+25
623,1.495781848149015e+25
624,1.5482101311514184e+25
625,1.457311301503003e+25
626,1.5499904614872067e+25
627,1.5319537146222744e+25
628,1.538335794061511e+25
629,1.534019621704636e+25
630,1.4667827943238785e+25
631,1.3958579753305243e+25
632,1.4672126854955015e+25
633,1.545997032140623e+25
634,1.4256313426105337e+25
635,1.4642607279614425e+25
636,1.518334429400835e+25
637,1.46645825383544e+25
638,1.5311102730530991e+25
639,1.4786940546214809e+25
640,1.5552087031558533e+25
641,1.4346592533036937e+25
642,1.5105477830038318e+25
643,1.5538227920014273e+25
644,1.5699523175615763e+25
645,1.504308679121978e+25
646,1.5564219848044062e+25
647,1.5191552893457082e+25
648,1.4915078997470575e+25
649,1.4664288201592802e+25
650,1.4696785012308368e+25
651,1.4983499604547403e+25
652,1.5451288602568918e+25
653,1.4782078892887332e+25
654,1.4431718979391195e+25
655,1.4524291330600998e+25
656,1.4811506958481936e+25
657,1.5306728871020033e+25
658,1.4294586894968966e+25
659,1.4895042856051932e+25
660,1.5253300332847426e+25
661,1.440501705699489e+25
662,1.427275625285699e+25
663,1.5124948644724163e+25
664,1.4678400213514715e+25
665,1.5104123863803293e+25
666,1.5192465401963002e+25
667,1.4635628970086872e+25
668,1.4612228414879961e+25
669,1.5129236538490884e+25
670,1.527805250742372e+25
671,1.4350274724064479e+25
672,1.4906397810353784e+25
673,1.46022540724101e+25
674,1.4898093684974875e+25
675,1.5844039961759078e+25
676,1.468748481105253e+25
677,1.4798610905369326e+25
678,1.4814644174357798e+25
679,1.5625503922793346e+25
680,1.477597596319343e+25
681,1.5180507437568073e+25
682,1.5215918842097558e+25
683,1.5331318291302484e+25
684,1.5356115919253179e+25
685,1.3988250069234916e+25
686,1.5204557829036573e+25
687,1.4057797051099605e+25
688,1.4309559875284066e+25
689,1.4671412644788364e+25
690,1.5514945678502134e+25
691,1.4900290625215891e+25
692,1.5647176103412957e+25
693,1.4335932051435231e+25
694,1.5148387120474667e+25
695,1.512576899895434e+25
696,1.4406086297260444e+25
697,1.3937109541722446e+25
698,1.5001221757042687e+25
699,1.462841509426933e+25
700,1.4624861648351302e+25
701,1.4693577996783865e+25
702,1.5268695965636407e+25
703,1.5363123067537334e+25
704,1.4632542833471624e+25
705,1.5071111658620576e+25
706,1.5277899540459803e+25
707,1.571148118770599e+25
708,1.498066258321553e+25
709,1.5072123035382394e+25
710,1.5116735039878241e+25
711,1.5421828467823244e+25
712,1.4314492757327726e+25
713,1.4849332384275332e+25
714,1.4939524732185733e+25
715,1.5368196344585196e+25
716,1.3830729519293373e+25
717,1.4934477345566672e+25
718,1.4731156948005546e+25
719,1.526137696631435e+25
720,1.4523514352695955e+25
721,1.497866539783895e+25
722,1.582700749763795e+25
723,1.3956586717122227e+25
724,1.5286627051791921e+25
725,1.5837672863662094e+25
726,1.490873574594488e+25
727,1.543788048274217e+25
728,1.5014404015560418e+25
729,1.5293349058995473e+25
730,1.4840450918584533e+25
731,1.4510824298428786e+25
732,1.487231700831464e+25
733,1.4844137423340994e+25
734,1.4520115130980939e+25
735,1.4639353282191492e+25
736,1.4775318946619978e+25
737,1.4531135817798277e+25
738,1.5258584178437993e+25
739,1.4446398817342149e+25
740,1.483879614377244e+25
741,1.5493212416830984e+25
742,1.463864483382204e+25
743,1.48218563210535e+25
744,1.4149161801250303e+25
745,1.4636183212396385e+25
746,1.3877099481969315e+25
747,1.6204797619109827e+25
748,1.4699698764676157e+25
749,1.4663810912053507e+25
750,1.5062971270959377e+25
751,1.4839797822893348e+25
752,1.4524264882424857e+25
753,1.4828392398838009e+25
754,1.524629107044179e+25
755,1.5730120685020257e+25
756,1.4678667540079313e+25
757,1.5323779484416742e+25
758,1.3603027928500825e+25
759,1.484313929600724e+25
760,1.505084791099077e+25
761,1.5012525476521553e+25
762,1.5159969115528288e+25
763,1.4744929255528855e+25
764,1.5018539495150598e+25
765,1.5096703155361338e+25
766,1.466693275407609e+25
767,1.482003829910272e+25
768,1.4665318595654151e+25
769,1.4679261960637234e+25
770,1.4901023825130003e+25
771,1.3930380194536571e+25
772,1.4908903321621387e+25
773,1.4674346022155491e+25
774,1.4950862880254374e+25
775,1.4556442598430984e+25
776,1.444291901333239e+25
777,1.5693902994556464e+25
778,1.4510257654929264e+25
779,1.5396510676906696e+25
780,1.4812904870738565e+25
781,1.5125408578250833e+25
782,1.4940250571826604e+25
783,1.544116403132249e+25
784,1.4903256703946383e+25
785,1.4711309832805447e+25
786,1.4337508314852228e+25
787,1.4588914843502447e+25
788,1.5088201023198257e+25
789,1.5299054720073703e+25
790,1.4960028948889708e+25
791,1.4427771146256677e+25
792,1.4727060054092926e+25
793,1.4864663430598807e+25
794,1.4848029695549066e+25
795,1.4398885288010742e+25
796,1.5377976180740397e+25
797,1.4531202738448525e+25
798,1.5147283507557602e+25
799,1.4949164302658375e+25
800,1.4808449139307597e+25
801,1.501345936396154e+25
802,1.533400595462813e+25
803,1.4309553293801092e+25
804,1.486897523459648e+25
805,1.430867285077422e+25
806,1.5018329414060107e+25
807,1.4780294546019773e+25
808,1.4524195630102025e+25
809,1.4300266856856854e+25
810,1.5445577092308553e+25
811,1.4825346057157253e+25
812,1.4642947550741067e+25
813,1.5192494247954235e+25
814,1.527622956431815e+25
815,1.56245581347363e+25
816,1.5697911592515788e+25
817,1.4898705210002584e+25
818,1.5242791723541142e+25
819,1.5018774721562908e+25
820,1.469541864636412e+25
821,1.5158189106523255e+25
822,1.4580434621137818e+25
823,1.431479480763899e+25
824,1.4911622610392148e+25
825,1.4456019230406386e+25
826,1.5258373846244011e+25
827,1.5313487665798269e+25
828,1.464647813022078e+25
829,1.5039500273696678e+25
830,1.5423894326949994e+25
831,1.4775927380908888e+25
832,1.5331734873032472e+25
833,1.5286572253989496e+25
834,1.4977774390520032e+25
835,1.4826821983038897e+25
836,1.4592352961565523e+25
837,1.5118184306568968e+25
838,1.4875842027080934e+25
839,1.519284566888181e+25
840,1.5023151853917808e+25
841,1.51453172644665e+25
842,1.469319526662665e+25
843,1.5095471365432978e+25
844,1.433898710611555e+25
845,1.4953528080900632e+25
846,1.534596247174378e+25
847,1.502250909290867e+25
848,1.4526909491844474e+25
849,1.4571880508713717e+25
850,1.51730689988478e+25
851,1.406234186872724e+25
852,1.5471663939908723e+25
853,1.5196506948235949e+25
854,1.4626490473875366e+25
855,1.4452897835794621e+25
856,1.4452572227717582e+25
857,1.5219394036053386e+25
858,1.4535501218179236e+25
859,1.5192530131029711e+25
860,1.4899859457171125e+25
861,1.4808602670853666e+25
862,1.4791375279338611e+25
863,1.4420538693943908e+25
864,1.5348302619140237e+25
865,1.4948135681231199e+25
866,1.4974318838391778e+25
867,1.5577231133709815e+25
868,1.5590031722589435e+25
869,1.4955993543554506e+25
870,1.5640193701497197e+25
871,1.470140260621432e+25
872,1.4201359093482777e+25
873,1.5576167160614075e+25
874,1.5636798431181062e+25
875,1.4203177451994996e+25
876,1.5199318657041593e+25
877,1.5272568256710421e+25
878,1.5170051879786538e+25
879,1.5022992799912382e+25
880,1.5431643492201024e+25
881,1.5076217549895557e+25
882,1.4328764588899024e+25
883,1.5601363859207057e+25
884,1.5197783162142103e+25
885,1.5242063756274892e+25
886,1.454780841832244e+25
887,1.4654209855697692e+25
888,1.5116250622383665e+25
889,1.4754265240072994e+25
890,1.4638942761632428e+25
891,1.4368410289738608e+25
892,1.4585107317207992e+25
893,1.5265583454340216e+25
894,1.4438107220697517e+25
895,1.5291600334629304e+25
896,1.4424758861780628e+25
897,1.431553342324411e+25
898,1.5844037523926971e+25
899,1.4470211782609835e+25
900,1.518407895855359e+25
901,1.5220800921657237e+25
902,1.5282434949520025e+25
903,1.4505176782901716e+25
904,1.519710683695945e+25
905,1.4995765028501666e+25
906,1.3935894053331662e+25
907,1.4807640759441694e+25
908,1.4877282116880973e+25
909,1.5851092275960607e+25
910,1.574397445304162e+25
911,1.4763165255128888e+25
912,1.4118509372755282e+25
913,1.4989471769203185e+25
914,1.5270842399019247e+25
915,1.529436719486225e+25
916,1.5757641473784509e+25
917,1.4248259224175634e+25
918,1.4858355981645592e+25
919,1.4977443194981147e+25
920,1.4757051726159007e+25
921,1.4753307824612597e+25
922,1.5061840945228207e+25
923,1.51332435454312e+25
924,1.5037297627791808e+25
925,1.4878797148686384e+25
926,1.4355841936136688e+25
927,1.4838688173520229e+25
928,1.461861924072949e+25
929,1.558874041030413e+25
930,1.4268747641962395e+25
931,1.5128584085433578e+25
932,1.4779721599240324e+25
933,1.5195342521149265e+25
934,1.452187214669024e+25
935,1.5535347577867324e+25
936,1.553575190951523e+25
937,1.4502904021902066e+25
938,1.4489531198922141e+25
939,1.5849462904981998e+25
940,1.4929801937781121e+25
941,1.492500038751053e+25
942,1.495246320453124e+25
943,1.4889540508932798e+25
944,1.5089766969025603e+25
945,1.4841149698842368e+25
946,1.456383025984152e+25
947,1.4153488302001394e+25
948,1.4931229578863253e+25
949,1.5018302606172634e+25
950,1.5284889620041439e+25
951,1.4817776314062278e+25
952,1.4887483811628113e+25
953,1.4615418470492607e+25
954,1.4417244408050798e+25
955,1.4985562076237313e+25
956,1.4805986832247701e+25
957,1.5784164046517264e+25
958,1.524471485512767e+25
959,1.4391439244480684e+25
960,1.4748737965996856e+25
961,1.4625642256091142e+25
962,1.4992269605323315e+25
963,1.5353958959420943e+25
964,1.4969929304318592e+25
965,1.4845951807269565e+25
966,1.5168342173263576e+25
967,1.4799442196730817e+25
968,1.5111130400798802e+25
969,1.5499012206756503e+25
970,1.4672116160071777e+25
971,1.4423059181912987e+25
972,1.5095459570445457e+25
973,1.5092961222201704e+25
974,1.5719224449921682e+25
975,1.5142886139727567e+25
976,1.4762981862256692e+25
977,1.467279987200183e+25
978,1.5095475370037593e+25
979,1.5273379885673342e+25
980,1.5495505298858917e+25
981,1.5501649443385161e+25
982,1.3928348673379877e+25
983,1.4782546755928223e+25
984,1.4154117540364446e+25
985,1.4810681094336614e+25
986,1.5052178256384254e+25
987,1.4896269052401146e+25
988,1.4933726363173764e+25
989,1.463071275159521e+25
990,1.4555095406885872e+25
991,1.3870809279843431e+25
992,1.4713783503514069e+25
993,1.476262044438469e+25
994,1.4256624923514198e+25
995,1.552478828550768e+25
996,1.5459576106017144e+25
997,1.5953235082103538e+25
998,1.5253212142428936e+25
999,1.4819575803228066e+25
1000,1.4779492802068798e+25
1001,1.507728446673378e+25
1002,1.4249822406102215e+25
1003,1.4755877832006877e+25
1004,1.4982301573668244e+25
1005,1.5254098420544487e+25
1006,1.4832579578124024e+25
1007,1.5519447028982248e+25
1008,1.4825003699327282e+25
1009,1.4981230867242973e+25
1010,1.5357363489006543e+25
1011,1.5189938656032653e+25
1012,1.4788055780955286e+25
