,Buy_Sell_Samples
185,5.19944544487588e+16
186,3.036554824916499e+20
187,2.8134711044537173e+21
188,1.5869289544423301e+21
189,1.791103439340099e+20
190,3.262400799855055e+20
191,4.231884620390407e+22
192,3.1948388638819595e+20
193,3.0271724865122767e+21
194,1.0628242776147622e+19
195,2.0107125988290835e+20
196,3.642528976896376e+19
197,8.993798654669586e+18
198,1.940913620593803e+19
199,1.906253198278289e+19
200,3.0769145813989294e+18
201,4.236168895048214e+20
202,2.9121693466898245e+21
203,1.0965342539733778e+20
204,4.977731439224372e+17
205,1.18336156281837e+19
206,1.0803711943852536e+19
207,9.330066329524612e+21
208,9.486126203991216e+18
209,1.3716333206461796e+18
210,1.0278767618356863e+22
211,2.800962481434965e+19
212,2.966377265509395e+21
213,3.5741607570111295e+19
214,1.2054147802599544e+20
215,4.529297869085695e+20
216,3.0687125973930004e+19
217,2.220294540415007e+18
218,4.091638674345628e+21
219,1.7082405119638897e+19
220,1.1539759443644763e+20
221,2.9811232992487924e+19
222,1.1820709147383297e+20
223,1.822321304757828e+21
224,9.511890615657775e+18
225,6.997861383494515e+21
226,3.5907078722296055e+21
227,1.2802094898261639e+20
228,8.967780429623893e+18
229,7.245313142670488e+19
230,8.910715553259235e+18
231,1.764082716237775e+17
232,1.2159075981959448e+21
233,1.4074802401571764e+19
234,1.1107921048873383e+21
235,2.325119251185626e+19
236,6.830998100936681e+18
237,3.834943916228451e+18
238,1.629553894503304e+21
239,5.445578459734274e+22
240,1.4319926660912894e+19
241,2.109024572989428e+20
242,2.191958718267173e+19
243,3.0722032224763314e+20
244,6.590298239249465e+21
245,5.579125287137188e+20
246,1.3532066107047526e+20
247,2.8246842166243496e+19
248,6.715748636892292e+19
249,1.3453077509035896e+18
250,7.770030406304047e+22
251,4.030624096471292e+19
252,9.031009716727392e+17
253,4.474383631555493e+19
254,7.751220527071326e+21
255,1.0059391000790878e+22
256,7.546718835418058e+21
257,2.509183359652631e+19
258,8.819114594174456e+20
259,6.402996792561466e+20
260,7.64841371401622e+19
261,4.038885585682198e+20
262,1.7815100784353138e+21
263,2.9893362862026774e+21
264,9.399412534781534e+19
265,1.7249821154659005e+20
266,1.5658211455520106e+20
267,1.2084571874403811e+19
268,2.2469384847189688e+21
269,3.1250370344450836e+18
270,1.2978824450938632e+23
271,2.108723618915599e+22
272,2.5040939312307293e+21
273,1.027871936770771e+20
274,1.0110976326115816e+20
275,2.7112820326009065e+21
276,4.83369500251879e+19
277,1.1961428555441357e+21
278,3.964807395833865e+21
279,1.3014005430642115e+22
280,1.2475997080988921e+21
281,1.0378280109736365e+21
282,1.963808218066943e+23
283,1.5999467561547425e+20
284,5.38611574049384e+19
285,3.3007614927255775e+21
286,3.205148286629204e+20
287,5.619692812149315e+17
288,1.663602078472895e+20
289,1.122019319773332e+20
290,3.0356153127104123e+18
291,3.5834871701021645e+17
292,1.91634773447282e+18
293,6.481521879260568e+17
294,8.9020939810477e+19
295,3.256658022898901e+17
296,8.026846788300295e+20
297,2.11849263375681e+18
298,1.590826675047754e+20
299,4.822218959690683e+18
300,3.70153526389836e+19
301,2.279521495493111e+20
302,2.9521813781423912e+22
303,4.689204296425419e+19
304,8.236983265045871e+21
305,4.498811198706843e+22
306,2.9496032087107043e+21
307,1.0639242598155547e+20
308,5.169944296120592e+19
309,3.5819780740045613e+21
310,8.101130614983861e+20
311,2.99804760085914e+20
312,7.240355802143954e+16
313,3.462054406623318e+19
314,5.847395746633457e+19
315,4.361834691561984e+22
316,1.1970004610011021e+19
317,1.6141208217153073e+18
318,4.427795448639011e+18
319,3.9341552555497574e+20
320,3.3703100267099764e+20
321,2.940529657656898e+18
322,2.168814726159474e+19
323,1.935617237070515e+19
324,5.440214378383317e+18
325,5.182772940551538e+18
326,1.4121857074571026e+24
327,6.815756008659168e+19
328,1.1431264517081027e+20
329,6.859268423748307e+20
330,4.823269454419193e+18
331,2.959006157736294e+17
332,3.7055193192881173e+20
333,8.349549381391606e+20
334,6.026418374142424e+21
335,1.4081067092404616e+17
336,6.271207391558778e+18
337,3.34225826505263e+20
338,1.1860102395185046e+19
339,8.8337905859024e+22
340,1.6729880628612858e+20
341,1.969441964481651e+18
342,1.1636898177947503e+21
343,2.171872758866998e+22
344,5.360945517221704e+20
345,7.490515831164427e+22
346,4.890079651269702e+18
347,1.0075581814078433e+19
348,3.1651507372354823e+22
349,1.549659426793177e+19
350,1.0932030875523074e+22
351,3.3895755192904704e+19
352,3.6087136260246897e+20
353,1.5579659349707055e+21
354,3.339360441059148e+17
355,9.207993639987899e+21
356,1.180852431889394e+20
357,1.329006613087095e+18
358,1.538363893261967e+21
359,9.50346860378976e+20
360,1.783551009777864e+19
361,1.3928798113019492e+19
362,8.143356458689715e+20
363,4.709790690154415e+17
364,1.6622769683145658e+21
365,6.28120740695887e+19
366,1.9609152069201012e+20
367,1.2694375820167498e+19
368,1.7900267185270705e+20
369,1.1462534534753781e+20
370,1.1910887898345846e+21
371,1.1896532489408089e+21
372,1.9723212549992137e+19
373,1.8190447317943695e+19
374,1.0913100719778497e+21
375,1.4904429895325566e+21
376,1.2203053619886356e+21
377,6.337296022288291e+18
378,7.867910180651697e+22
379,2.571651104453537e+18
380,4.3020905701700567e+18
381,1.0304233743430863e+19
382,5.7373579564111e+17
383,8.708938291093307e+20
384,2.5971726545086364e+21
385,7.871128501114582e+21
386,1.602286193014776e+19
387,1.9762003135289043e+21
388,4.0029581162428554e+18
389,8.208627262959541e+21
390,1.2997053024209063e+20
391,1.384303537144724e+18
392,9.44561210780647e+19
393,3.8582205983152695e+21
394,4.975958050571937e+20
395,1.3798357279358096e+20
396,1.2466463420478703e+20
397,1.2002217264328897e+21
398,4.24537090482796e+19
399,3.681511320809588e+19
400,1.1617146179151843e+21
401,7.675542686374111e+21
402,5.057462501261309e+20
403,7.81278575135303e+18
404,1.5629984756626914e+21
405,5.972993794396422e+18
406,1.415409178330084e+20
407,7.13642103474218e+20
408,8.132779403598964e+17
409,1.0909645177301513e+18
410,1.0651427377364877e+17
411,1.7304372259396194e+23
412,7.73794030004049e+19
413,3.5766497064585825e+18
414,6.0454042325179515e+19
415,2.394464608490893e+21
416,2.7457738181153493e+19
417,8.128532631149236e+18
418,1.3619531793436164e+19
419,9.50700666482912e+19
420,8.49369202716642e+19
421,4.7993829207469016e+16
422,5.390341766234841e+17
423,8.428766057684083e+19
424,6.645166833733585e+20
425,5.779996084394826e+18
426,3.1946995894171714e+19
427,1.3177040126622577e+22
428,8.432062335296282e+20
429,3.4469103983597765e+19
430,1.950751314874951e+19
431,5.0607151646468434e+20
432,1.0566249139482e+22
433,1.7239386569615921e+19
434,1.864044388204082e+18
435,3.189980484005236e+20
436,1.2670344853710574e+19
437,2.679489964575906e+19
438,1.4682317128526709e+19
439,2.749826412132378e+20
440,3.539373860704147e+17
441,1.758306807698441e+21
442,2.3937853305596203e+19
443,3.4880022893935804e+19
444,2.5213651284881144e+22
445,1.1478378266470788e+20
446,5.547285038343777e+19
447,1.3614985529065605e+17
448,1.7197439081308493e+21
449,5.106428978383493e+19
450,9.793572784808798e+18
451,1.4936380591378129e+19
452,3.960378223788052e+20
453,3.3345554732523225e+20
454,4.5360017881838157e+21
455,4.3738185928641176e+19
456,1.7051205690286168e+19
457,3.378562877955753e+20
458,1.092072983494338e+21
459,2.24786928224996e+19
460,1.4472396533637683e+19
461,1.5008417383792585e+21
462,2.3617985821294507e+20
463,4.954026680894544e+22
464,3.89687563269611e+20
465,6.125638590601735e+21
466,3.6282445225404957e+20
467,9.057153410878553e+18
468,6.511864873626844e+21
469,1.2077663872714896e+20
470,2.8972230286054772e+20
471,3.178870810709289e+19
472,3.6298019202650046e+20
473,6.231830408466802e+20
474,1.7476715958936891e+19
475,1.987049116501289e+22
476,5.1931169955837574e+17
477,2.1785320631351732e+20
478,6.274817457577932e+22
479,7.61250536426073e+19
480,1.0831096330868189e+20
481,8.642955544755976e+17
482,4.817251671813089e+22
483,5.880128970746135e+19
484,2.9802597082437765e+18
485,1.903621488862804e+19
486,1.8381343695408144e+19
487,5.340878179277942e+19
488,1.979426609019122e+21
489,6.494852130121956e+21
490,2.434473854251788e+18
491,1.0104399717125523e+20
492,1.914177722044133e+18
493,1.8176205097109154e+19
494,4.758693742838404e+18
495,2.1792137443402282e+20
496,7.368951472813613e+19
497,8.276963315225349e+20
498,3.7613705252018e+20
499,9.219868417886395e+20
500,6.044755823691989e+18
501,5.4600171402576085e+19
502,2.7767303849819908e+20
503,3.753910884030762e+20
504,7.467788487110875e+18
505,4.593591753893262e+20
506,1.042494567272941e+17
507,8.329002005989991e+24
508,6.700222761805501e+24
509,4.139377791117725e+17
510,9.31445998447404e+17
511,1.1682114420699942e+20
512,7.702490065619853e+20
513,6.712172736615763e+20
514,2.2714239532588122e+20
515,2.2595755424934988e+16
516,1.810115924669171e+20
517,1.976500147045562e+18
518,5.558105871828373e+19
519,5.934896125949191e+21
520,8.43347832636598e+20
521,4.040897961241422e+18
522,7.8422289152919e+20
523,5.2716860221301735e+19
524,2.168452081847684e+20
525,3.168563854344485e+17
526,6.031405126780547e+21
527,3.137183342225203e+20
528,9.875205186200124e+19
529,2.2418687410556433e+20
530,8.772143414721147e+21
531,8.580073799920619e+19
532,1.622740608157993e+21
533,5.8271748273639816e+16
534,2.16991921197605e+22
535,5.12132121185271e+18
536,6.986474778095576e+18
537,6.293125786965654e+23
538,5.2321526660119994e+19
539,2.3257791436615977e+18
540,2.489402644655635e+21
541,9.530294070906063e+18
542,7.236909604600685e+17
543,2.5508110290672587e+21
544,2.621150849440804e+20
545,7.01120777442423e+20
546,3.638789097732016e+20
547,7.022988726595878e+19
548,1.3314053064240593e+20
549,4.831226265126811e+20
550,6.424168842744296e+19
551,2.8954285898475487e+19
552,9.417171092416408e+20
553,5.1671989787587546e+17
554,2.8971325889006923e+21
555,7.754124834254677e+18
556,3.022669496840513e+21
557,1.4437609875028385e+21
558,2.2451779100770633e+22
559,2.759061604827881e+19
560,2.4424058961476383e+18
561,2.13066864230363e+21
562,2.1592593891011924e+18
563,2.3245896808814654e+20
564,1.5928696075450417e+20
565,5.0270436047659686e+17
566,7.439300084471578e+17
567,5.232062644584856e+20
568,2.0210511278733742e+19
569,3.3952060862826918e+19
570,4.709088220250648e+20
571,4.591098436048902e+18
572,5.756487254024636e+20
573,5.482354919339858e+21
574,3.754788552336376e+17
575,2.786784974887013e+18
576,1.0479490907250914e+20
577,5.102306896638923e+19
578,5.362883803663644e+19
579,7.399478419539511e+19
580,2.2371851862862696e+22
581,8.326548375233428e+19
582,5.716826401681247e+21
583,2.2905861883982664e+21
584,1.3734966161971413e+19
585,9.462771798295067e+19
586,6.3518319963207375e+22
587,4.4817591255206404e+19
588,8.763609274697243e+19
589,2.6099211233168428e+16
590,2.7734609291908137e+19
591,2.509749118865697e+19
592,4.492836193010669e+21
593,4.3589426126851544e+21
594,3.179441557549001e+20
595,1.4516934198860773e+21
596,8.950939109063415e+19
597,8.012462543635452e+20
598,7.183408201904415e+19
599,4.2696262384278093e+18
600,1.616072450298438e+22
601,1.3768583915135636e+20
602,1.875661732443296e+19
603,1.1458486104830395e+21
604,2.0518769592947536e+19
605,7.25441532705137e+18
606,1.403540645675097e+17
607,9.530439755031975e+19
608,1.1784571592976338e+20
609,3.38313688878121e+19
610,7.988293149586017e+18
611,2.312511218248297e+18
612,1.0781331185575638e+21
613,2.557888503451941e+22
614,6.767741527725444e+17
615,1.0145489850710908e+21
616,2.8845058201164636e+19
617,3.2580742667839485e+20
618,2.3236533918266024e+19
619,2.2674344984669253e+23
620,7.805526925872293e+21
621,1.6926265282376717e+22
622,9.432333802335535e+20
623,1.1924536970110687e+21
624,3.372236665351025e+21
625,8.694898593291796e+21
626,1.6652253649413056e+18
627,9.746578522995104e+18
628,1.051580554233815e+22
629,1.0433720698446534e+21
630,2.459182478071019e+18
631,1.0373133911188541e+21
632,1.254524941101342e+18
633,2.2377005935673983e+19
634,5.405768849679366e+18
635,1.3867551326980723e+18
636,2.1189319472667456e+18
637,8.733938185470707e+21
638,2.4816913450723447e+19
639,4.35744235103149e+19
640,3.958412576403702e+21
641,2.9877684211643875e+20
642,1.4297150333718253e+20
643,2.6946541300120935e+20
644,3.2614940996316447e+18
645,2.79791221013907e+20
646,2.5975484335960315e+18
647,1.6876256203926434e+21
648,1.8286397866313705e+19
649,2.9158783901330928e+19
650,2.0652293653013766e+19
651,3.871305377075987e+20
652,2.578247531977891e+19
653,4.5194387234981315e+20
654,5.351997786974759e+19
655,7.207354850968637e+18
656,7.795201577527663e+18
657,1.4524060745552366e+21
658,1.3382018635020922e+20
659,1.9970911895174963e+19
660,4.1022536669056546e+20
661,4.195787050111935e+19
662,2.3450198818570673e+20
663,9.102913040433877e+18
664,8.643480105652077e+19
665,4.3146740187987026e+18
666,6.892883630535111e+20
667,3.8033034332253585e+19
668,2.430536267865915e+21
669,2.2013414641886085e+20
670,9.378149708316258e+18
671,1.1054584518083588e+19
672,2.872511474290032e+20
673,1.4113843182982471e+21
674,9.87899021697946e+20
675,4.8450961788015955e+20
676,2.777088046106445e+22
677,3.729847449927289e+24
678,1.0924221245990534e+20
679,4.791130173867019e+19
680,2.477203563192609e+21
681,3.0684429424528555e+24
682,1.3594062149095323e+21
683,4.4453057544204766e+20
684,5.476953509669536e+20
685,3.94651649541184e+19
686,2.30452738301192e+22
687,1.4629069820740878e+19
688,8.076863893062345e+19
689,6.990562212388542e+20
690,8.104134250934158e+18
691,6.5490676397240254e+19
692,9.87159850951984e+22
693,9.474839521841574e+21
694,4.442852965189721e+20
695,2.607561371420321e+19
696,1.0428458793949784e+21
697,2.1627933209800357e+21
698,9.837755326630571e+19
699,1.4547751553659002e+22
700,4.706493298721e+19
701,1.0042148686191448e+23
702,5.041651078261274e+20
703,6.138213388264714e+18
704,5.075931616073421e+21
705,5.808735435188128e+16
706,7.121825508820037e+19
707,1.2488484053759475e+23
708,7.633319532184337e+21
709,9.349716038793109e+21
710,2.1744349688446543e+18
711,2.4605254233288036e+20
712,1.3438540976734721e+20
713,1.9572008874912884e+20
714,1.3643728148970798e+18
715,5.397441198687864e+21
716,5.2560078808208795e+20
717,1.9862583674498572e+19
718,2.4627199097271677e+19
719,4.953868437561696e+21
720,9.366345070273656e+19
721,6.7982894991741256e+19
722,9.595091729609898e+18
723,6.235194368805745e+20
724,6.620698532632535e+18
725,2.670783771371894e+20
726,1.1386142229811592e+20
727,4.473806141621722e+20
728,1.1593508366028934e+21
729,1.0306097384504254e+19
730,8.110670022130452e+20
731,6.044417968874972e+16
732,6.928675370484712e+20
733,1.8508305753665647e+19
734,1.0853462152337293e+18
735,3.700419782831819e+19
736,1.8040143470379532e+20
737,1.5699300231148984e+22
738,7.612742877466771e+20
739,1.069437179249733e+22
740,1.455159182814046e+19
741,4.819115067990697e+21
742,1.310379134798334e+20
743,1.20192970375869e+21
744,3.5608434704229394e+20
745,5.068474244213399e+19
746,3.187041651735457e+21
747,2.860613670189285e+22
748,9.947901205304631e+22
749,6.809342294458246e+21
750,8.205895901915637e+19
751,7.881989887767424e+19
752,3.738674010878631e+21
753,3.9006637842507386e+20
754,4.8495801239165397e+20
755,3.472177183963237e+21
756,1.6276170287980688e+20
757,7.994826635566519e+19
758,5.187492414058456e+21
759,1.7774040375237263e+20
760,1.0803368870275628e+21
761,2.381941829276822e+19
762,1.280477476856733e+19
763,4.909819393049069e+18
764,1.096960423164846e+21
765,2.4072701770886336e+21
766,7.715740115066497e+19
767,2.388052471424963e+20
768,2.533516826376154e+20
769,5.531441042800249e+20
770,2.574926162058616e+21
771,5.022921550169423e+19
772,1.2304561329677627e+17
773,2.1039948625231312e+17
774,1.0634234823763634e+19
775,2.109004699225308e+20
776,8.925394138155875e+17
777,1.866145930340237e+19
778,6.797323492727416e+18
779,2.8670097699747054e+20
780,1.1809898183516758e+21
781,1.1982461668441707e+20
782,1.2526191639365814e+18
783,1.992189979938566e+19
784,1.5400254224078657e+21
785,8.898038020724441e+18
786,5.434577182695046e+19
787,2.3146271923651763e+18
788,4.094746763519822e+21
789,3.4262662517492185e+22
790,1.3644070961244944e+22
791,1.394448707511783e+22
792,1.5581809538110548e+19
793,1.2273809772802406e+18
794,2.4143508198899154e+18
795,1.8659468795822018e+20
796,4.8638366963075146e+19
797,2.835518969732294e+18
798,6.5537698591300534e+19
799,6.7155985126087704e+16
800,1.5678899440140637e+17
801,2.2250073416490504e+19
802,6.821687422737049e+20
803,1.7608560861866254e+19
804,1.3145558984997224e+19
805,3.8594185841679275e+21
806,4.685471484649034e+18
807,4.935111268243908e+20
808,1.581084822531091e+20
809,6.556695700199055e+19
810,9.9136096469174e+20
811,4.722610022194394e+21
812,2.8905639562626764e+20
813,4.3050707328809933e+21
814,6.7560392291644424e+19
815,5.466027327738774e+18
816,9.147213294757848e+18
817,4.902240749818224e+21
818,5.702776570135893e+22
819,2.1438310355497982e+20
820,8.994968138865238e+19
821,1.6857658844100347e+21
822,7.441671178648086e+20
823,5.9124493273787654e+19
824,2.785644398762377e+18
825,3.5988761427546345e+19
826,3.4679214607940874e+18
827,1.7121950561645455e+20
828,1.7854301810807671e+21
829,1.74577225645755e+20
830,2.377516745088894e+19
831,2.2946647200037307e+18
832,1.8573207501143392e+19
833,2.509367429862309e+21
834,1.651248605740039e+21
835,3.577960421715562e+21
836,1.2607944790911309e+20
837,2.3995433974593336e+18
838,6.44541990887889e+18
839,9.477218848573209e+19
840,1.487539239548576e+17
841,3.432566683899511e+21
842,1.4114183805414582e+18
843,4.700595581508076e+19
844,1.6200155606394348e+23
845,4.364056106955374e+18
846,2.2990193375824405e+22
847,4.1877266241516265e+19
848,1.0788198266885574e+20
849,3.47160454593279e+19
850,1.3420227712235651e+20
851,7.881265626702864e+18
852,1.8113229122215559e+21
853,1.3599027722386296e+20
854,2.6143406171207097e+20
855,5.594454630393938e+19
856,1.7339388281008706e+22
857,3.9875877455393e+21
858,1.6310202148402787e+20
859,6.610543751234617e+20
860,4.0464963279918925e+18
861,8.380417651731504e+20
862,3.5002441339367272e+19
863,1.8084142229999017e+18
864,2.374967443360639e+21
865,1.9758580197438566e+18
866,1.5471061192745206e+20
867,5.7223193468437955e+20
868,5.576964709845864e+20
869,9.07336341835647e+17
870,1.674264852950103e+20
871,2.9057770105629504e+20
872,6.90331817422629e+23
873,6.697778983619938e+16
874,1.5528016257692901e+19
875,6.516911323853316e+20
876,1.3878082710874872e+19
877,3.517074946748042e+20
878,6.623609271941317e+19
879,3.841729911933435e+21
880,8.201677040016781e+22
881,1.3649736689722028e+19
882,1.639136855731495e+22
883,4.555592373095146e+20
884,1.1144766626021499e+20
885,1.537224466974747e+22
886,8.912503368039382e+18
887,2.43605671114115e+19
888,6.714967973246062e+18
889,1.4556064274322453e+20
890,1.9828504600888037e+19
891,3.478507558611644e+20
892,6.411244295025371e+19
893,1.2698713963234029e+20
894,6.5131501341905064e+16
895,2.0094489793764487e+21
896,8.815212512476765e+18
897,1.119259999697498e+21
898,1.1323677454983016e+20
899,4.379355879987565e+19
900,4.112620649922514e+20
901,3.3510426979304456e+19
902,1.140424967058661e+23
903,1.0581631139088119e+20
904,9.389557377500437e+19
905,3.128048102133413e+19
906,1.3632158594161661e+18
907,9.04020158549664e+20
908,3.180237501625682e+20
909,1.823730895821542e+20
910,8.306355677955025e+18
911,9.730955001813432e+21
912,1.2625838134973386e+20
913,4.6092552550175334e+19
914,3.8443962537357287e+21
915,6.868539973731694e+21
916,1.123508396532089e+20
917,1.0304200120225056e+20
918,6.270776787201184e+21
919,1.7553332023205827e+19
920,2.5993937357829263e+20
921,5.168025829187464e+20
922,1.8032950984834208e+19
923,4.510593916606918e+22
924,1.156111892595477e+20
925,1.917578533428723e+19
926,7.834233119433128e+19
927,3.7234952648979685e+19
928,3.709546201003123e+21
929,3.86538556984375e+19
930,2.850061139045191e+18
931,1.88567598926699e+21
932,1.6688392159520634e+23
933,2.0930842001787133e+18
934,3.4277588543195572e+16
935,5.1566008604490295e+22
936,7.571149455542582e+18
937,5.767481513306967e+19
938,1.2992627024141723e+20
939,3.2139106326735657e+22
940,1.7162931472089114e+20
941,3.234267718148802e+19
942,1.025932816285929e+24
943,2.3229203468534717e+18
944,2.7273665259834237e+19
945,6.125402950339333e+21
946,1.554995683559448e+22
947,1.2723924176607434e+18
948,2.921808060771482e+21
949,1.2756224715788982e+19
950,7.620124294815719e+21
951,1.6769241505862822e+19
952,1.2426917910565308e+19
953,7.724368924490911e+21
954,2.4129697299518728e+20
955,3.183341994132148e+20
956,6.33398446704505e+20
957,3.8880270965919375e+19
958,8.375926535083697e+20
959,3.776260135490277e+19
960,9.158452235870391e+18
961,5.092858109855633e+19
962,1.196843519893079e+19
963,5.85373652296241e+19
964,6.059736091365735e+19
965,3.696019693847164e+20
966,3.575992740547812e+20
967,3.894763141319851e+20
968,1.1179729557675975e+20
969,1.1046705325470298e+16
970,7.722796022293915e+21
971,1.4748427247061852e+20
972,2.329630617545922e+19
973,2.363289343648716e+18
974,1.3208181592957104e+19
975,1.198784185218315e+21
976,1.4537329301287461e+20
977,3.106250190802854e+20
978,2.022757608181298e+21
979,5.494314810010262e+20
980,1.1875965711584162e+19
981,1.087020724682766e+21
982,1.785145643325131e+19
983,4.82123428824117e+20
984,1.0449754045558852e+22
985,2.7431496987353776e+19
986,2.8333206156957204e+19
987,2.764976078153554e+21
988,1.3036521840440975e+19
989,8.98092679400498e+20
990,1.3684914267778531e+20
991,8.394842179146766e+20
992,4.223600020077753e+17
993,6.764653953760205e+20
994,2.310610188916666e+20
995,8.411040861209317e+20
996,8.06218792830552e+17
997,5.116762907809806e+21
998,1.4888615678902405e+18
999,4.132215463375015e+18
1000,3.7709771679276735e+20
1001,1.4745025443861302e+20
1002,1.3579213572422915e+21
1003,1.0481481798784625e+19
1004,2.282344644930576e+22
1005,1.3953322610908157e+20
1006,2.0451484577660603e+22
1007,2.963505883932038e+17
1008,1.769765231190002e+22
1009,1.2632721508729928e+19
1010,2.2626858884235972e+20
1011,2.8898036278439648e+20
1012,3.949419508329607e+19
1013,9.829164999188638e+18
1014,6.591998460692212e+19
1015,4.6585399443347644e+19
1016,1.4620925960210026e+16
1017,3.683204870804378e+20
1018,3.122733768309016e+20
1019,9.328081272848174e+19
1020,3.1641096233896473e+19
1021,1.907690137575338e+23
1022,1.296001005783865e+22
1023,3.978341244120306e+20
1024,8.157859942191452e+18
1025,4.811835541263276e+19
1026,3.926728786853379e+19
1027,9.55529188470977e+18
1028,3.1705885648009806e+19
1029,2.989148712704045e+21
1030,3.6635282453050086e+17
1031,1.019713192917385e+21
1032,1.003609087861505e+22
1033,3.6399232991186747e+19
1034,3.417784206749917e+18
1035,3.884401066406073e+20
1036,7.964838042695546e+20
1037,6.091175052050088e+18
